age,age_yrs,gender,spkr
female,adult,female,a1
female,adult,female,a10
female,adult,female,a2
female,adult,female,a3
female,adult,female,a4
female,adult,female,a5
female,adult,female,a6
female,adult,female,a7
female,adult,female,a8
female,adult,female,a9
child,10,female,c9
child,10,male,c68
child,10,male,c15
child,10,male,c27
child,10,female,c74
child,10,male,c46
child,10,female,c80
child,10,male,c51
child,10,female,c84
child,10,female,c85
child,9,male,c62
child,9,female,c3
child,9,male,c13
child,9,female,c25
child,9,male,c48
child,9,female,c82
child,9,male,c54
child,9,female,c83
child,8,male,c2
child,8,male,c63
child,8,male,c7
child,8,male,c8
child,8,female,c67
child,8,male,c71
child,8,female,c18
child,8,male,c33
child,8,male,c79
child,8,female,c81
child,8,male,c50
child,8,female,c55
child,8,female,c61
child,7,male,c64
child,7,female,c10
child,7,female,c66
child,7,male,c12
child,7,male,c69
child,7,male,c70
child,7,female,c19
child,7,male,c21
child,7,male,c23
child,7,male,c26
child,7,female,c29
child,7,male,c32
child,7,female,c38
child,7,female,c75
child,7,female,c76
child,7,male,c77
child,7,female,c45
child,7,male,c47
child,7,male,c53
child,7,male,c59
child,7,male,c86
child,6,female,c5
child,6,female,c65
child,6,female,c11
child,6,male,c17
child,6,male,c72
child,6,male,c34
child,6,female,c35
child,6,male,c37
child,6,female,c41
child,6,male,c42
child,6,male,c43
child,6,female,c78
child,6,male,c60
child,5,female,c1
child,5,female,c14
child,5,male,c30
child,5,male,c73
child,5,male,c36
child,5,female,c39
child,5,male,c40
child,5,female,c44
child,5,female,c49
child,5,male,c52
child,5,female,c58
child,4,female,c4
child,4,female,c6
child,4,male,c16
child,4,male,c20
child,4,female,c22
child,4,male,c24
child,4,male,c28
child,4,male,c31
child,4,female,c56
child,4,female,c57